food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,ingredients,Meal Type,Cluster,Breakfast,Lunch,Dinner,Bevrage,Curry,Snack,chutney
Hot tea (1 cup),68.16,16.14,2.58,0.39,0.53,2.58,0,0,14.2,"Tea leaves, Milk, Sugar, Water",veg,1,0,0,0,1,0,0,0
Instant coffee(1 cup),97.77,23.16,3.65,0.64,0.75,3.62,0,0,20.87,"Espresso coffee grounds, Water",veg,1,0,0,0,1,0,0,0
Espreso coffee( cup),217,51.54,6.62,1.75,2.14,6.53,0,0,58.1,"Tea leaves, Sugar, Lemon, Ice cubes, Water",veg,1,0,0,0,1,0,0,0
Iced tea(1 cup),44.09,10.34,2.7,0.03,0.01,2.7,0,0,1.18,"Raw mango, Sugar, Black salt, Cumin powder, Mint, Water",veg,1,0,0,0,1,0,0,0
Raw mango drink (1 glass),152.39,35.92,9.05,0.16,0.03,7.49,0.61,0,7.08,"Raw mango, Sugar, Black salt, Cumin powder, Mint, Water",veg,1,0,0,0,1,0,0,0
Fruit Punch (with fresh juices)(1 medium glass),153.89,36.12,9.38,0.14,0.03,9.25,0.06,0,5.07," Orange, Pineapple, Apple, Lemon juice, Sugar, Mint leaves",veg,1,0,0,0,1,0,0,0
Fruit punch(1 glass),98.22,23.13,5.99,0.07,0.02,5.88,0.17,0,3.3,"Pineapple squash, Mango squash, Lemon juice, Soda water, Suga",veg,1,0,0,0,1,0,0,0
Lemonade(1 glass),88.66,20.8,5.48,0.03,0.01,5.47,0.02,0,1.84,"Lemon juice, Sugar, Water, Ice cubes",veg,1,0,0,0,1,0,0,0
Lemogin(1 glass),91.63,21.52,5.55,0.08,0.03,5.38,0.13,0,2.2,"Lemon juice, Ginger juice, Sugar, Soda water, Mint leaves",veg,1,0,0,0,1,0,0,0
Cumin infused water (1 glass),38.23,9.09,1.86,0.17,0.11,1.46,0.46,0,10.84,"Roasted cumin powder, Water, Black salt, Lemon juice",veg,1,0,0,0,1,0,0,0
Coco pine cooler(1 glass),138.47,32.75,5.72,0.56,1,5.52,0.26,3.4,17.81,"Coconut water, Pineapple juice, Lemon juice, Sugar syrup, Ice cubes",veg,1,0,0,0,1,0,0,0
Summer cooler(1 glass),95.22,22.43,5.43,0.37,0.04,5.21,0.2,0,8.13,"Mint leaves, Lemon juice, Soda water, Sugar syrup, Ice cubes",veg,1,0,0,0,1,0,0,0
Hot cocoa(1 glass),378.24,90.1,9.23,3.36,4.56,9.01,0,0,113.66,"Cocoa powder, Milk, Sugar, Whipped cream ",veg,1,0,0,0,1,0,0,0
Cold coffee with ice cream(1 full glass),286.61,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,"Coffee powder, Milk, Sugar, Vanilla ice cream",veg,1,0,0,0,1,0,0,0
Banana milkshake (1 glass),274.33,65.31,9.15,1.84,2.37,7.96,0.26,0,62.64,"Bananas, Milk, Sugar, Ice cubes",veg,1,1,0,0,0,0,0,0
Mango milkshake (1 glass),239.13,56.9,7.23,1.73,2.35,7.15,0.26,0,62.33,"Mango pulp, Milk, Sugar, Ice cubes",veg,1,1,0,0,0,0,0,0
Pineapple milkshake (1 glass),235.06,55.72,7.62,1.66,2.23,7.6,0,0,59.92,"Pineapple chunks, Milk, Sugar, Ice cubes",veg,1,1,0,0,0,0,0,0
Orange milkshake (1 glass),241.5,57.42,7.11,1.86,2.52,7.08,0,0,67.42,"Orange juice, Milk, Sugar, Ice cubes",veg,1,1,0,0,0,0,0,0
Egg nog(1 medium glass),407.68,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13,"Eggs, Milk, Sugar, Nutmeg, Vanilla extract",non veg,1,1,0,0,0,0,0,0
Sweet Lassi (1 glass),151.19,35.66,6.51,1.29,0.68,6.51,0,2.49,45.65,"Yogurt, Sugar, Water, Cardamom powder",veg,1,1,0,0,0,0,0,0
Lassi (salted)(1 glass),79.43,18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78,"Yogurt, Water, Salt, Cumin powder",veg,1,0,0,0,1,0,0,0
Cheese and chilli sandwich (2 slices),916.65,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79,"Bread, Cheese, Green chili, Butter, Salt",veg,1,1,0,0,0,0,0,0
Egg sandwich (2 slices),1198.25,285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13,"Boiled eggs, Bread slices, Mayonnaise, Salt, Pepper, Butter, Lettuce, Cucumber slices",non veg,1,1,0,0,0,0,0,0
Cucumber sandwich (2 slices),792.81,188.6,25.77,4.8,8,1.64,2.45,17.53,87.84,"Cucumber, Bread slices, Butter, Salt, Pepper, Cream cheese, Lemon juice",veg,1,1,0,0,0,0,0,0
Cheese and pineapple sandwich(2 slices),1080.78,257.71,29.1,8.2,12.8,4.1,2.33,34.35,199.73,"Cheese slices, Pineapple slices, Bread slices, Mayonnaise, Lettuce, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Cheese and tomato sandwich (2 slices),1020.45,243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.2,"Cheese slices, Tomato slices, Bread slices, Mayonnaise, Salt, Pepper, Lettuce",veg,1,1,0,0,0,0,0,0
Chicken sandwich(2 slices),1063.58,253.27,25.38,13.12,11.75,1.6,1.64,42.06,89.56,"Cooked chicken (shredded), Bread slices, Mayonnaise, Lettuce, Salt, Pepper, Cucumber slices, Onion slices",non veg,1,1,0,0,0,0,0,0
Peanut and tomato sandwich (2 slices),1223.06,291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,"Peanuts, Tomato slices, Bread slices, Mayonnaise, Lettuce, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Rainbow sandwich(2 slices),1145.57,272.75,34.26,7.75,12.54,4.05,2.1,31.16,172.04,"Red bell peppers, Yellow bell peppers, Green bell peppers, Cucumber, Lettuce, Bread slices, Cream cheese, Mayonnaise, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Club sandwich (2 slices),982.35,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,"Chicken slices (or turkey), Bacon strips, Lettuce, Tomato slices, Cheese slices, Bread slices, Mayonnaise, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Vegetarian club sandwich(2 slices),829.67,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,"Lettuce, Tomato slices, Cucumber, Cheese slices, Avocado, Bread slices, Mayonnaise, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Pin wheel sandwich(2 slices),1295.4,311.52,14,8.77,24.93,1.45,0.93,179.52,67.75,"Bread slices, Cream cheese, Cucumber slices, Carrot strips, Lettuce, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Carrot apple sandwich (2 slices),899.82,214.11,29.04,5.3,9.12,5.3,3.66,21.05,118.05,"Grated carrot, Grated apple, Bread slices, Mayonnaise, Salt, Pepper, Lemon juice",veg,1,1,0,0,0,0,0,0
Salami sandwich(2 slices),1068.35,255.59,21.54,8.7,15.51,2,1.97,33.35,73.54,"Salami slices, Bread slices, Lettuce, Tomato slices, Cheese slices, Mayonnaise, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Vegetable and mayonnaise sandwich(2 slices),1020.23,244.26,23.2,4.47,15.4,2.35,2.35,21.87,79.53,"carrot, cucumber, lettuce,  Mayonnaise, Bread slices, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Egg and tomato sandwich (2 slices),933.23,222.11,25.9,7.66,10.51,2.09,1.77,95.63,95.71,"Boiled eggs, Tomato slices, Bread slices, Mayonnaise, Salt, Pepper, Lettuce",non veg,1,1,0,0,0,0,0,0
Sweet open sandwich(2 slices),1026.93,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,"Bread slices, Honey, Fresh fruit (berries, apple slices, etc.), Cream cheese, Cinnamon",veg,0,1,0,0,0,0,0,0
Mushroom and cheese sandwich (2 slices),951.3,227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,"Mushrooms , Cheese slices, Bread slices (toasted), Butter, Garlic, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Cheese and tomato sandwich(2 slices),939.42,224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,"Cheese slices, Tomato slices, Bread slices (toasted), Butter, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Pea potato sandwich (2 slices),692.6,164.9,25.17,4.6,5.43,1.33,2.89,0,64.15,"Boiled potatoes, Boiled peas, Bread slices (toasted), Butter, Salt, Pepper, Mustard",veg,1,1,0,0,0,0,0,0
Paneer pea sandwich(2 slices),1046.81,249.56,24.05,12.4,11.98,6.4,2.12,0,274.1,"Paneer (cottage cheese), Boiled peas, Bread slices (toasted), Salt, Pepper, Butter",veg,1,1,0,0,0,0,0,0
Chicken sandwich(2 slices),705.58,167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,"Cooked chicken (shredded), Bread slices (toasted), Mayonnaise, Lettuce, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Pea keema sandwich(2 slices),723.5,171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,"Minced meat (keema), Boiled peas, Bread slices (toasted), Salt, Pepper, Butter",non veg,1,1,0,0,0,0,0,0
Classic club sandwich(2 slices),840.3,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,"Chicken  Lettuce, Tomato slices, Cheese slices, Bread slices, Mayonnaise, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Sesame toast(2 slices),2042.69,495.19,11.15,1.9,49.38,1.46,1.32,0,43.44,"Bread slices, Sesame seeds, Butter, Garlic, Salt",veg,2,1,0,0,0,0,0,0
Cracked wheat porridge(1 bowl),341.09,81.57,8.87,2.64,4.08,5.12,0.62,0,75.88,"Cracked wheat, Milk, Sugar, Ghee, Cardamom, Almonds, Cashews, Raisins, Water",veg,1,1,0,0,0,0,0,0
Semolina porridge (1 bowl),423.06,100.89,12.39,3.75,4.08,7.54,0.7,0,108.52,"Semolina (suji), Milk, Sugar, Ghee, Cardamom, Cashews, Raisins, Water",veg,1,1,0,0,0,0,0,0
Oatmeal Porridge(1 bowl),306.46,72.85,8.77,2.6,3.22,5.2,0.39,0.02,76.83,"Oats, Milk, Sugar, Honey, Cinnamon, Raisins, Water",veg,1,1,0,0,0,0,0,0
Cornflakes with milk(1 bowl),493.71,117.33,14.95,3.59,5.12,9.97,0.78,0,106.47,"Cornflakes, Milk, Sugar, Fruits",veg,1,1,0,0,0,0,0,0
Rice flakes (1 bowl),471.37,112.44,15.57,3.62,3.99,7.28,0.37,0,103.15,"Rice flakes, Salt, Turmeric, Green chilies, Mustard seeds, Curry leaves, Peanuts, Oil",veg,1,1,0,0,0,0,0,0
Wheat flakes(1 bowl),471.37,112.44,15.57,3.62,3.99,7.28,0.37,0,103.15,"Wheat flakes, Milk, Sugar, Honey, Fruits",veg,1,1,0,0,0,0,0,0
Puffed rice(1 bowl),475.04,113.32,15.67,3.62,4.04,7.31,0.28,0,103.79,"Puffed rice, Peanuts, Turmeric, Salt, Green chilies, Lemon juice, Oil",veg,1,1,0,0,0,0,0,0
Puffed wheat(1 bowl),475.04,113.32,15.67,3.62,4.04,7.31,0.28,0,103.79,"Puffed wheat, Salt, Turmeric, Oil, Green chilies",veg,1,1,0,0,0,0,0,0
Boiled egg(1 medium size),189.77,45.35,0.12,4.43,3.04,0,0.11,121.19,17.75,"Eggs, Water, Salt",non veg,1,1,0,0,0,0,0,0
Fried Egg (1 medium size),928.19,223.67,0.31,11.59,19.62,0,0.29,316.88,46.4,"Eggs, Oil, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Poached egg(2 pieces),518.05,123.87,0.37,11.98,8.19,0.05,0.3,326.79,48.24,"Eggs, Water, Vinegar, Salt",non veg,1,1,0,0,0,0,0,0
Scrambled egg (2 pieces),649.51,155.97,1.35,10.29,12.21,1.08,0.24,273.6,64.59,"Eggs, Oil, Onion, Tomato, Green chilies, Turmeric, Salt, Pepper",non veg,1,1,0,0,0,0,0,0
Baked egg (1 medium size),916.63,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,"Eggs, Salt, Pepper, Butter, Cream",non veg,1,1,0,0,0,0,0,0
Plain omelette(2 pieces),1127.43,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.4,"Eggs, Salt, Pepper, Oil, Butter",non veg,1,1,0,0,0,0,0,0
Stuffed egg omelette(2 pieces),843.31,203.51,2.3,8.6,17.77,1.57,0.75,154.38,89.91,"Eggs, Salt, Pepper, Onion, Tomato, Cheese, Spinach, Oil",non veg,1,1,0,0,0,0,0,0
Pancake(2 pieces),846.21,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,"Flour, Milk, Eggs, Sugar, Baking powder, Butter, Salt, Vanilla essence",veg,1,1,0,0,0,0,0,0
Keema pancake(1whole piece),733.07,176.27,9.56,9.01,11.25,2.2,0.84,46.43,40.96,"Ground meat (keema), Flour, Eggs, Spices, Salt, Pepper, Oil",non veg,1,1,0,0,0,0,0,0
Vegetable pancake(1whole piece),520.55,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,"Flour, carrot, zucchini, onion, Eggs, Salt, Pepper, Oil",veg,1,1,0,0,0,0,0,0
Jam and fruit pancake(1 whole piece),675.43,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,"Flour, Milk, Eggs, Sugar, Baking powder, Butter, Jam, Fresh fruit",veg,1,1,0,0,0,0,0,0
Khoa and coconut pancake(1 piece),1138.78,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,"Flour, Khoa, Coconut, Milk, Sugar, Baking powder, Butter",veg,0,1,0,0,0,0,0,0
Brown stock(1 cup),89.24,21.32,0.25,1.95,1.38,0.14,0.09,0,17.16,"Carrots, Celery, Onion, Garlic, Bay leaves, Water, Peppercorns",veg,1,1,0,0,0,0,0,0
Vegetable stock(1 cup),72.84,17.6,0.96,0.3,1.38,0.44,0.38,3.46,5.08,"Carrots, Celery, Onion, Garlic, Bay leaves, Peppercorns, Water",veg,1,1,0,0,0,0,0,0
Chicken stock(1 cup),125.02,29.88,0.37,3.69,1.51,0.2,0.1,10.23,3.57,"Chicken bones, Carrots, Celery, Onion, Garlic, Bay leaves, Peppercorns, Water",non veg,1,1,0,0,0,0,0,0
Clear tomato soup(1 cup),330.9,80.07,3.45,4.79,12.22,1.44,1.96,0,29.05,"Tomatoes, Onion, Garlic, Ginger, Salt, Pepper, Water, Olive oil, Fresh basil",veg,1,1,0,0,0,0,0,0
Lentil soup(1 cup),129.85,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,"Lentils, Onion, Garlic, Carrot, Celery, Tomato, Cumin, Turmeric, Salt, Pepper, Water",veg,1,1,0,0,0,0,0,0
Chicken consomme (1 cup),199.24,47.94,1.19,11.47,12.02,0.54,1.57,17,35.48,"Chicken, Onion, Carrot, Celery, Garlic, Bay leaves, Peppercorns, Salt, Water",non veg,1,1,0,0,0,0,0,0
Cream of tomato soup(1 cup),404.6,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,"Tomatoes, Onion, Garlic, Cream, Butter, Flour, Salt, Pepper, Water, Basil",veg,1,1,0,0,0,0,0,0
Cream of green peas soup(1 cup),529.63,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,"Green peas, Onion, Garlic, Cream, Butter, Flour, Salt, Pepper, Water",veg,1,1,0,0,0,0,0,0
Cream of spinach soup(1 cup),416.01,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,"Spinach, Onion, Garlic, Cream, Butter, Flour, Salt, Pepper, Water",veg,1,1,0,0,0,0,0,0
Cream of mixed vegetable soup(1 cup),248.42,59.65,4.93,6.84,9.05,2.1,2.14,7.05,65.26,"carrot, peas, beans,  Onion, Garlic, Cream, Butter, Flour, Salt, Pepper",veg,1,1,0,0,0,0,0,0
Cream of mushroom soup(1 cup),484.63,117.28,3.74,6.64,15.5,1.93,1.34,6.74,70.56,"Mushrooms, Onion, Garlic, Cream, Butter, Flour, Salt, Pepper, Water",veg,1,1,0,0,0,0,0,0
